City,Cloudiness (%),Country,Date,Humidity (%),Latitude,Longitude,Max Temperature (F),Wind Speed (mph)
coruripe,100.0,br,1585505345,75.0,-10.13,-36.18,83.17,13.96
luderitz,0.0,na,1585505345,64.0,-26.65,15.16,68.0,19.46
albany,90.0,au,1585505346,77.0,-35.02,117.89,60.8,5.82
ilulissat,100.0,gl,1585505108,97.0,69.22,-51.1,32.0,3.36
alice springs,68.0,au,1585505064,35.0,-23.7,133.88,71.6,1.12
tiksi,81.0,ru,1585505112,90.0,71.69,128.87,-3.39,3.2
rikitea,59.0,pf,1585505347,80.0,-23.12,-134.97,79.21,11.72
chuy,30.0,uy,1585505348,61.0,-33.7,-53.46,80.4,4.12
alvorada,73.0,br,1585505348,63.0,-12.48,-49.12,85.6,7.54
upernavik,100.0,gl,1585505121,94.0,72.79,-56.15,11.39,11.54
bage,20.0,br,1585505349,54.0,-31.33,-54.11,84.2,11.41
victoria,20.0,sc,1585505350,74.0,-4.62,55.45,84.2,5.82
campamento,6.0,hn,1585505350,16.0,14.55,-86.65,89.98,7.96
yaqui,75.0,mx,1585505350,42.0,27.37,-110.17,68.0,5.82
severo-kurilsk,80.0,ru,1585505351,91.0,50.68,156.12,27.3,16.67
mackenzie,100.0,ca,1585505351,78.0,55.3,-123.17,10.4,16.11
ushuaia,75.0,ar,1585505183,66.0,-54.8,-68.3,48.2,3.36
cidreira,35.0,br,1585505067,65.0,-30.18,-50.21,80.26,10.29
jamestown,27.0,sh,1585505352,77.0,-15.94,-5.72,71.55,18.5
vaini,75.0,to,1585505353,94.0,-21.2,-175.2,77.0,4.7
hinatuan,92.0,ph,1585505353,85.0,8.37,126.33,77.9,4.65
ribeira grande,47.0,pt,1585505354,76.0,38.52,-28.7,58.73,18.99
cape town,0.0,za,1585505067,67.0,-33.93,18.42,64.0,20.8
yichun,31.0,cn,1585505354,72.0,47.7,128.9,33.01,6.67
busselton,44.0,au,1585505354,73.0,-33.65,115.33,59.5,3.22
punta arenas,75.0,cl,1585505355,54.0,-53.15,-70.92,53.6,24.16
lompoc,40.0,us,1585505355,59.0,34.64,-120.46,64.99,6.93
qaanaaq,100.0,gl,1585505356,91.0,77.48,-69.36,6.55,7.96
casablanca,20.0,ma,1585505163,55.0,33.59,-7.62,64.4,9.17
manta,75.0,ec,1585505356,74.0,-0.95,-80.73,82.4,5.82
half moon bay,90.0,us,1585505356,82.0,37.46,-122.43,57.2,10.29
saint-philippe,20.0,re,1585505357,88.0,-21.36,55.77,78.8,4.7
port elizabeth,40.0,za,1585505357,82.0,-33.92,25.57,62.6,11.41
sitka,90.0,us,1585505174,50.0,57.05,-135.33,33.8,8.05
talnakh,75.0,ru,1585505358,85.0,69.49,88.4,21.2,17.9
moengo,99.0,sr,1585505359,87.0,5.62,-54.4,79.99,10.0
fethiye,75.0,tr,1585505360,76.0,36.62,29.12,57.2,5.82
owando,21.0,cg,1585505360,57.0,-0.48,15.9,81.77,2.53
mulanje,28.0,mw,1585505361,73.0,-16.03,35.5,69.22,6.87
crotone,1.0,it,1585505361,76.0,39.09,17.12,55.4,6.93
atuona,5.0,pf,1585505361,78.0,-9.8,-139.03,82.15,18.23
staryy nadym,28.0,ru,1585505362,94.0,65.61,72.68,24.04,20.02
tasiilaq,100.0,gl,1585505362,100.0,65.61,-37.64,35.6,10.29
udachnyy,90.0,ru,1585505364,92.0,66.42,112.4,10.4,2.24
port alfred,10.0,za,1585505105,87.0,-33.59,26.89,64.99,4.0
hithadhoo,96.0,mv,1585505405,63.0,-0.6,73.08,84.6,7.27
christchurch,68.0,nz,1585505341,93.0,-43.53,172.63,55.99,6.93
nanortalik,100.0,gl,1585505405,92.0,60.14,-45.24,37.36,22.19
khatanga,98.0,ru,1585505405,91.0,71.97,102.5,-10.75,1.16
ancud,9.0,cl,1585505406,58.0,-41.87,-73.82,59.0,5.82
fortuna,20.0,us,1585505406,76.0,40.6,-124.16,57.2,13.87
carutapera,33.0,br,1585505407,72.0,-1.2,-46.02,84.99,11.1
amahai,92.0,id,1585505407,79.0,-3.33,128.92,80.06,6.17
tuktoyaktuk,75.0,ca,1585505408,74.0,69.45,-133.04,-23.8,8.05
mokolo,97.0,cm,1585505408,14.0,10.74,13.8,87.3,3.27
richards bay,13.0,za,1585505408,81.0,-28.78,32.04,75.13,5.03
hobart,14.0,au,1585505182,59.0,-42.88,147.33,60.8,10.29
hermanus,2.0,za,1585505409,75.0,-34.42,19.23,63.0,11.12
arraial do cabo,20.0,br,1585505409,58.0,-22.97,-42.03,84.2,10.29
castro,22.0,cl,1585505410,58.0,-42.47,-73.77,59.0,5.82
kapaa,75.0,us,1585505410,83.0,22.08,-159.32,73.4,19.46
grootfontein,53.0,na,1585505410,48.0,-19.57,18.12,69.31,6.13
garden city,90.0,us,1585505411,58.0,42.33,-83.33,59.0,34.45
rio cuarto,75.0,ar,1585505411,54.0,-33.13,-64.35,80.6,6.93
alenquer,40.0,br,1585505412,83.0,-1.94,-54.74,82.4,5.82
prince rupert,90.0,ca,1585505412,86.0,54.32,-130.32,39.2,9.17
peniche,20.0,pt,1585505412,59.0,39.36,-9.38,62.01,5.82
barrow,1.0,us,1585505412,75.0,71.29,-156.79,-20.2,9.17
lorengau,76.0,pg,1585505158,80.0,-2.02,147.27,81.91,7.78
nuuk,100.0,gl,1585505413,96.0,64.18,-51.72,33.01,44.96
imbituba,75.0,br,1585505166,74.0,-28.24,-48.67,78.8,8.05
drumheller,95.0,ca,1585505402,73.0,51.46,-112.71,37.96,9.28
nikolskoye,20.0,ru,1585505414,50.0,59.7,30.79,30.2,2.24
falam,0.0,mm,1585505414,32.0,22.92,93.68,58.14,3.13
ola,100.0,ru,1585505414,94.0,59.58,151.28,16.2,6.8
iralaya,75.0,hn,1585505415,83.0,15.0,-83.23,80.6,4.7
villazon,7.0,bo,1585505415,12.0,-22.09,-65.59,67.1,8.08
bluff,39.0,nz,1585505415,90.0,-46.6,168.33,46.99,3.0
port blair,49.0,in,1585505416,68.0,11.67,92.75,80.98,3.56
provideniya,0.0,ru,1585505418,68.0,64.38,-173.3,3.06,3.38
ponta do sol,75.0,cv,1585505418,57.0,17.2,-25.09,77.0,20.8
samarai,96.0,pg,1585505419,86.0,-10.62,150.67,79.21,7.99
adrar,0.0,dz,1585505419,16.0,25.75,-1.0,78.76,6.33
coquimbo,97.0,cl,1585505420,64.0,-29.95,-71.34,68.0,13.87
cap malheureux,75.0,mu,1585505420,94.0,-19.98,57.61,80.6,11.41
kousseri,28.0,cm,1585505421,11.0,12.08,15.03,104.0,5.82
hambantota,69.0,lk,1585505164,80.0,6.12,81.12,81.07,6.2
junction city,1.0,us,1585505382,36.0,39.03,-96.83,66.2,11.41
pangai,59.0,to,1585505421,82.0,-19.8,-174.35,80.76,16.75
poum,19.0,nc,1585505194,77.0,-20.23,164.02,77.77,17.36
yellowknife,75.0,ca,1585505465,57.0,62.46,-114.35,-8.0,6.93
martapura,57.0,id,1585505465,89.0,-3.42,114.85,76.51,2.82
lebu,0.0,cl,1585505465,58.0,-37.62,-73.65,61.45,18.34
tiznit,1.0,ma,1585505466,54.0,29.58,-9.5,57.4,9.24
faanui,44.0,pf,1585505466,72.0,-16.48,-151.75,83.28,9.75
fasa,90.0,ir,1585505271,93.0,28.94,53.65,55.4,4.7
carnarvon,66.0,au,1585505417,69.0,-24.87,113.63,73.4,12.75
rassvet,76.0,ru,1585505467,47.0,46.83,40.75,51.67,10.83
maple creek,13.0,ca,1585505468,35.0,49.92,-109.48,50.14,12.19
san patricio,5.0,mx,1585505468,79.0,19.22,-104.7,86.0,11.41
tabou,19.0,ci,1585505468,76.0,4.42,-7.35,83.37,7.65
broken hill,90.0,au,1585505468,60.0,-31.95,141.43,68.0,21.92
mount isa,0.0,au,1585505469,60.0,-20.73,139.5,69.8,10.65
belyy yar,93.0,ru,1585505324,63.0,53.6,91.39,28.4,11.18
necochea,24.0,ar,1585505470,74.0,-38.55,-58.74,71.01,4.0
bredasdorp,6.0,za,1585505470,63.0,-34.53,20.04,62.6,4.7
new norfolk,13.0,au,1585505470,59.0,-42.78,147.06,60.8,10.29
berlevag,75.0,no,1585505224,85.0,70.86,29.09,17.6,28.86
taoudenni,0.0,ml,1585505471,12.0,22.68,-3.98,85.55,7.09
seredka,75.0,ru,1585505471,81.0,58.16,28.19,32.0,8.95
baculin,71.0,ph,1585505471,80.0,7.45,126.58,77.32,4.12
touros,75.0,br,1585505472,83.0,-5.2,-35.46,82.4,10.29
hilo,75.0,us,1585505472,77.0,19.73,-155.09,72.0,4.7
esperance,0.0,au,1585505472,93.0,-33.87,121.9,51.8,5.82
thinadhoo,100.0,mv,1585505472,63.0,0.53,72.93,84.09,7.43
nanhai,74.0,cn,1585505473,90.0,30.13,111.78,42.01,1.45
morondava,1.0,mg,1585505473,77.0,-20.28,44.28,79.9,12.55
tera,48.0,ne,1585505474,10.0,14.01,0.75,98.08,7.81
saskylakh,73.0,ru,1585505187,87.0,71.92,114.08,-19.34,3.67
klaksvik,30.0,fo,1585505474,70.0,62.23,-6.59,44.6,11.41
georgetown,39.0,sh,1585505474,80.0,-7.93,-14.42,81.97,18.12
zhanakorgan,0.0,kz,1585505475,38.0,43.91,67.25,51.22,16.44
limbang,75.0,my,1585505475,88.0,4.75,115.0,80.6,4.7
banda aceh,66.0,id,1585505475,81.0,5.56,95.32,80.96,2.48
nishihara,75.0,jp,1585505476,82.0,26.18,127.76,66.2,2.24
la palma,82.0,pa,1585505476,46.0,8.4,-78.15,90.5,5.88
butaritari,100.0,ki,1585505477,67.0,3.07,172.79,80.69,5.1
ochamchira,100.0,ge,1585505477,84.0,42.71,41.47,51.58,3.71
clyde river,1.0,ca,1585505477,84.0,70.47,-68.59,-0.4,8.05
belmonte,40.0,br,1585505478,74.0,-15.86,-38.88,84.2,8.05
kimbe,58.0,pg,1585505405,89.0,-5.55,150.14,76.64,1.99
avarua,40.0,ck,1585505478,83.0,-21.21,-159.78,80.6,6.93
chandbali,2.0,in,1585505479,72.0,20.78,86.77,82.8,6.64
longyearbyen,40.0,sj,1585505256,64.0,78.22,15.64,1.4,6.93
araouane,60.0,ml,1585505479,11.0,18.9,-3.53,90.03,7.92
itoman,75.0,jp,1585505480,82.0,26.12,127.67,66.2,2.24
yumen,100.0,cn,1585505260,28.0,40.28,97.2,43.61,4.97
kodiak,90.0,us,1585505525,58.0,57.79,-152.41,30.2,11.41
ambilobe,99.0,mg,1585505525,89.0,-13.2,49.05,77.7,1.14
imeni poliny osipenko,100.0,ru,1585505526,91.0,52.42,136.49,31.46,7.02
san carlos de bariloche,20.0,ar,1585505526,37.0,-41.15,-71.31,55.4,10.29
east london,10.0,za,1585505527,79.0,-33.02,27.91,70.39,8.75
berdigestyakh,75.0,ru,1585505527,93.0,62.1,126.7,8.47,3.22
baracoa,17.0,cu,1585505527,73.0,20.35,-74.5,80.13,13.89
manglisi,90.0,ge,1585505528,93.0,41.7,44.38,46.4,4.7
garachine,68.0,pa,1585505528,67.0,8.06,-78.36,83.03,9.57
estevan,1.0,ca,1585505529,65.0,49.13,-102.98,55.4,9.17
coihaique,75.0,cl,1585505529,66.0,-45.58,-72.07,51.8,8.05
axim,20.0,gh,1585505529,78.0,4.87,-2.24,82.71,8.37
sao raimundo nonato,42.0,br,1585505530,62.0,-9.02,-42.7,85.26,7.54
bengkulu,100.0,id,1585505530,82.0,-3.8,102.27,76.53,9.82
puerto ayora,20.0,ec,1585505531,66.0,-0.74,-90.35,84.2,8.05
deputatskiy,100.0,ru,1585505531,87.0,69.3,139.9,-1.61,4.68
bandarbeyla,52.0,so,1585505531,72.0,9.49,50.81,80.15,10.45
sao filipe,78.0,cv,1585505532,76.0,14.9,-24.5,71.8,20.0
tecoanapa,0.0,mx,1585505532,39.0,16.52,-98.75,89.2,9.06
jalu,98.0,ly,1585505532,15.0,29.03,21.55,82.54,9.82
peterhead,75.0,gb,1585505532,75.0,57.51,-1.8,44.01,14.99
dikson,98.0,ru,1585505533,95.0,73.51,80.55,4.39,8.12
saiki,100.0,jp,1585505534,74.0,32.95,131.9,52.81,9.69
iracoubo,96.0,gf,1585505534,82.0,5.48,-53.2,80.65,13.24
saint george,75.0,bm,1585505534,83.0,32.38,-64.68,71.6,13.87
hervey bay,6.0,au,1585505535,94.0,-25.3,152.85,69.01,6.93
port-gentil,30.0,ga,1585505295,79.0,-0.72,8.78,83.34,8.79
oistins,20.0,bb,1585505535,55.0,13.07,-59.53,86.0,24.16
hualmay,96.0,pe,1585505535,60.0,-11.1,-77.61,79.34,10.13
kyshtovka,100.0,ru,1585505536,93.0,56.55,76.63,34.47,12.03
kavaratti,0.0,in,1585505536,71.0,10.57,72.64,84.49,9.06
la rioja,60.0,ar,1585505536,45.0,-29.41,-66.85,81.03,5.88
bilma,37.0,ne,1585505536,11.0,18.69,12.92,87.37,5.01
sokolo,97.0,ml,1585505537,15.0,14.73,-6.12,92.48,2.66
nome,1.0,us,1585505538,49.0,64.5,-165.41,-0.4,1.61
waipawa,53.0,nz,1585505538,93.0,-41.41,175.52,57.2,5.82
arrifes,40.0,pt,1585505539,72.0,37.77,-25.7,60.8,17.22
bousso,77.0,td,1585505539,21.0,10.48,16.71,95.45,7.76
plouzane,70.0,fr,1585505539,70.0,48.38,-4.62,45.0,25.28
grindavik,75.0,is,1585505585,87.0,63.84,-22.43,42.8,19.46
hastings,82.0,nz,1585505585,83.0,-39.64,176.85,57.24,2.3
lagoa,73.0,pt,1585505585,77.0,39.05,-27.98,58.15,22.95
ventspils,40.0,lv,1585505586,85.0,57.39,21.56,32.0,10.29
naron,33.0,es,1585505586,54.0,43.52,-8.15,57.99,16.11
torbat-e jam,94.0,ir,1585505586,64.0,35.24,60.62,50.79,6.76
kupang,18.0,id,1585505587,77.0,-10.17,123.58,81.19,10.31
klyuchi,83.0,ru,1585505587,96.0,52.27,79.17,29.05,5.91
jiangyou,67.0,cn,1585505587,64.0,31.77,104.72,51.46,2.98
road town,20.0,vg,1585505588,69.0,18.42,-64.62,84.2,11.41
laguna,83.0,br,1585505414,75.0,-28.48,-48.78,75.45,6.98
ca mau,5.0,vn,1585505588,87.0,9.18,105.15,75.97,2.84
walvis bay,30.0,na,1585505588,89.0,-22.96,14.51,61.0,1.99
mogadishu,57.0,so,1585505589,79.0,2.04,45.34,83.35,14.34
tautira,84.0,pf,1585505590,69.0,-17.73,-149.15,82.4,3.36
bethel,90.0,us,1585505590,93.0,41.37,-73.41,48.99,16.11
haizhou,98.0,cn,1585505591,90.0,34.58,119.13,39.43,3.42
vila velha,20.0,br,1585505591,69.0,-20.33,-40.29,82.99,12.75
cabo san lucas,40.0,mx,1585505591,60.0,22.89,-109.91,75.99,9.17
ngunguru,16.0,nz,1585505512,96.0,-35.62,174.5,54.0,7.0
galesong,40.0,id,1585505592,100.0,-5.32,119.37,77.0,1.12
tukrah,52.0,ly,1585505592,63.0,32.53,20.58,64.44,1.77
clayton,75.0,us,1585505593,36.0,33.53,-84.37,80.6,10.29
vao,73.0,nc,1585505593,77.0,-22.67,167.48,74.89,22.21
nabire,100.0,id,1585505594,86.0,-3.37,135.48,77.23,0.87
kholtoson,100.0,ru,1585505594,77.0,50.3,103.31,20.79,4.74
nampula,40.0,mz,1585505465,78.0,-15.12,39.27,77.0,9.17
songea,100.0,tz,1585505595,74.0,-10.68,35.65,65.62,3.0
bambous virieux,75.0,mu,1585505595,94.0,-20.34,57.76,80.6,11.41
okha,17.0,ru,1585505596,95.0,53.57,142.95,23.13,8.61
noumea,71.0,nc,1585505342,88.0,-22.28,166.46,66.2,14.76
hofn,11.0,is,1585505596,61.0,64.25,-15.21,50.0,14.99
hasaki,75.0,jp,1585505596,86.0,35.73,140.83,39.2,11.41
chumphon,0.0,th,1585505597,87.0,10.33,98.83,73.72,1.77
sioux lookout,75.0,ca,1585505439,31.0,50.1,-91.92,46.4,12.75
muroto,100.0,jp,1585505598,70.0,33.28,134.15,52.84,10.51
muyezerskiy,100.0,ru,1585505598,87.0,63.93,31.65,22.95,4.43
parczew,58.0,pl,1585505599,53.0,51.64,22.9,50.0,16.11
hearst,100.0,ca,1585505599,92.0,49.68,-83.67,33.22,13.24
san cristobal,20.0,ec,1585505599,59.0,-0.9,-89.62,89.6,11.41
gorin,100.0,ru,1585505599,85.0,51.2,136.67,32.59,7.56
mecca,0.0,sa,1585505617,46.0,21.43,39.83,70.92,8.19
caravelas,93.0,br,1585505645,76.0,-17.71,-39.25,81.25,15.32
pozo colorado,13.0,py,1585505645,39.0,-23.49,-58.8,98.13,1.45
acarau,75.0,br,1585505646,83.0,-2.89,-40.12,84.2,9.17
flinders,90.0,au,1585505646,82.0,-34.58,150.86,69.01,16.11
port hardy,75.0,ca,1585505646,87.0,50.7,-127.42,44.6,5.82
chenghai,90.0,cn,1585505646,82.0,23.46,116.77,62.6,6.71
pak phanang,20.0,th,1585505647,81.0,8.35,100.2,79.43,4.9
van wert,90.0,us,1585505647,58.0,40.87,-84.58,55.4,32.21
najran,5.0,sa,1585505647,27.0,17.49,44.13,86.0,14.99
warrnambool,39.0,au,1585505648,95.0,-38.38,142.48,54.0,12.93
vestmanna,11.0,fo,1585505555,75.0,62.16,-7.17,44.6,9.17
cayenne,90.0,gf,1585505648,70.0,4.93,-52.33,86.0,13.87
mana,95.0,gf,1585505649,85.0,5.66,-53.78,80.51,11.88
torbay,90.0,ca,1585505649,100.0,47.67,-52.73,30.99,27.51
paka,1.0,my,1585505649,100.0,4.64,103.44,75.2,2.68
hamilton,75.0,bm,1585505650,83.0,32.29,-64.78,71.6,13.87
takoradi,19.0,gh,1585505592,78.0,4.88,-1.76,82.78,10.2
camacha,75.0,pt,1585505650,72.0,33.08,-16.33,64.4,3.36
thompson,75.0,ca,1585505650,49.0,55.74,-97.86,3.2,9.17
pevek,100.0,ru,1585505530,88.0,69.7,170.31,15.04,28.41
lavrentiya,0.0,ru,1585505651,83.0,65.58,-171.0,1.06,4.0
sambava,92.0,mg,1585505651,90.0,-14.27,50.17,77.76,1.19
omboue,50.0,ga,1585505652,85.0,-1.57,9.26,81.77,6.42
luangwa,9.0,zm,1585505652,66.0,-15.62,30.42,74.05,3.89
mar del plata,90.0,ar,1585505389,100.0,-38.0,-57.56,70.0,11.41
guerrero negro,97.0,mx,1585505653,58.0,27.98,-114.06,63.55,18.52
hellvik,75.0,no,1585505653,93.0,59.92,5.78,39.2,16.11
atar,16.0,mr,1585505653,10.0,20.52,-13.05,90.61,12.35
luena,100.0,ao,1585505654,66.0,-11.78,19.92,63.32,4.23
ada,90.0,us,1585505654,81.0,43.42,-116.13,51.8,4.7
concepcion del uruguay,25.0,ar,1585505654,62.0,-32.48,-58.24,84.0,1.99
seryshevo,23.0,ru,1585505655,93.0,51.09,128.38,23.52,0.74
namatanai,91.0,pg,1585505655,74.0,-3.67,152.43,82.13,4.52
byron bay,8.0,au,1585505537,100.0,-28.65,153.62,66.2,3.47
kamenka,83.0,ru,1585505656,49.0,51.32,42.77,44.01,1.01
troitskoye,95.0,ru,1585505656,95.0,52.98,84.68,26.53,7.05
thyboron,4.0,dk,1585505656,75.0,56.7,8.21,39.99,5.01
padang,100.0,id,1585505657,82.0,-0.95,100.35,76.6,4.34
omaruru,82.0,na,1585505657,48.0,-21.43,15.93,71.46,7.85
taldan,99.0,ru,1585505657,94.0,53.67,124.8,19.65,1.63
prince george,20.0,ca,1585505524,100.0,53.92,-122.75,30.99,4.7
zhangye,100.0,cn,1585505551,27.0,38.93,100.45,47.5,6.58
tambo,67.0,pe,1585505658,23.0,-14.8,-73.92,48.78,4.92
moerai,5.0,pf,1585505658,66.0,-22.43,-151.33,78.93,11.74
zemio,100.0,cf,1585505659,51.0,5.03,25.14,79.7,6.8
makakilo city,75.0,us,1585505659,100.0,21.35,-158.09,75.2,12.39
saldanha,0.0,za,1585505632,59.0,-33.01,17.94,64.4,18.34
argayash,73.0,ru,1585505705,65.0,55.49,60.88,41.0,8.95
geraldton,27.0,au,1585505507,77.0,-28.77,114.6,59.0,9.17
fengrun,0.0,cn,1585505705,56.0,39.83,118.12,42.75,2.55
bacolod,43.0,ph,1585505706,76.0,10.67,122.95,78.76,7.14
stolin,82.0,by,1585505706,68.0,51.89,26.85,48.78,12.12
aklavik,20.0,ca,1585505706,63.0,68.22,-135.01,-11.2,3.36
nadym,24.0,ru,1585505706,94.0,65.53,72.52,24.13,20.54
kahului,40.0,us,1585505706,82.0,20.89,-156.47,70.0,5.82
saint-pierre,78.0,pm,1585505707,60.0,46.77,-56.17,39.2,26.4
san quintin,36.0,mx,1585505707,57.0,30.48,-115.95,61.65,17.92
lazaro cardenas,0.0,mx,1585505574,50.0,17.96,-102.2,85.39,8.14
cherskiy,100.0,ru,1585505707,91.0,68.75,161.3,24.84,18.95
