City,Cloudiness (%),Country,Date,Humidity (%),Latitude,Longitude,Max Temperature (F),Wind Speed (mph)
izhma,99.0,ru,1585505708,95.0,65.01,53.91,22.8,7.05
dawei,0.0,mm,1585505708,73.0,14.08,98.2,75.42,3.02
huarmey,98.0,pe,1585505708,56.0,-10.07,-78.15,82.24,9.86
balkhash,0.0,kz,1585505708,76.0,46.84,74.98,31.93,13.65
biankouma,100.0,ci,1585505709,61.0,7.74,-7.61,81.57,1.83
sohag,0.0,eg,1585505709,15.0,26.56,31.69,78.8,6.93
bay roberts,90.0,ca,1585505710,100.0,47.6,-53.26,32.0,27.51
tuatapere,7.0,nz,1585505710,90.0,-46.13,167.68,46.99,3.0
linares,63.0,cl,1585505710,21.0,-35.85,-71.6,81.28,7.94
brae,79.0,gb,1585505711,81.0,60.4,-1.35,44.6,11.41
dobroye,85.0,ua,1585505711,74.0,44.87,34.23,48.61,2.39
iwanai,0.0,jp,1585505711,88.0,42.97,140.51,31.35,2.39
terrace,75.0,ca,1585505711,93.0,54.52,-128.6,37.4,16.11
tarakan,88.0,id,1585505712,82.0,3.3,117.63,79.66,2.42
kushima,100.0,jp,1585505712,77.0,31.46,131.23,56.73,11.3
ushumun,95.0,ru,1585505713,95.0,52.78,126.53,20.62,0.76
tambo grande,46.0,pe,1585505713,41.0,-4.93,-80.34,90.52,4.23
norman wells,20.0,ca,1585505713,69.0,65.28,-126.83,-13.0,16.11
bathsheba,20.0,bb,1585505714,55.0,13.22,-59.52,86.0,24.16
paralimni,20.0,cy,1585505714,72.0,35.04,33.98,61.0,9.17
hoima,100.0,ug,1585505714,65.0,1.44,31.34,64.71,0.69
vila franca do campo,40.0,pt,1585505714,72.0,37.72,-25.43,60.8,17.22
castelo branco,100.0,pt,1585505715,48.0,39.82,-7.49,66.0,3.02
williston,1.0,us,1585505715,35.0,48.15,-103.62,55.4,4.7
chokurdakh,99.0,ru,1585505715,95.0,70.63,147.92,6.4,10.33
ostrovnoy,88.0,ru,1585505715,94.0,68.05,39.51,19.15,23.09
carora,41.0,ve,1585505716,30.0,10.18,-70.08,91.62,6.98
khandyga,99.0,ru,1585505716,92.0,62.67,135.6,2.64,3.24
grand gaube,75.0,mu,1585505716,94.0,-20.01,57.66,80.6,11.41
rawson,0.0,ar,1585505515,30.0,-43.3,-65.1,68.11,4.94
pimentel,54.0,pe,1585505717,29.0,-6.84,-79.93,66.2,11.41
praxedis guerrero,90.0,mx,1585505550,20.0,31.37,-106.02,64.0,6.93
maniitsoq,100.0,gl,1585505718,96.0,65.42,-52.9,32.22,28.27
lethem,86.0,gy,1585505718,43.0,3.38,-59.8,94.64,9.86
maykor,100.0,ru,1585505718,87.0,59.01,55.88,35.01,10.58
simpang,0.0,id,1585505765,84.0,-1.27,104.08,78.85,5.37
betioky,2.0,mg,1585505765,76.0,-23.72,44.38,69.89,6.29
buchanan,75.0,lr,1585505765,83.0,5.88,-10.05,82.4,7.76
frutal,95.0,br,1585505765,71.0,-20.02,-48.94,78.15,5.37
millau,75.0,fr,1585505765,70.0,44.08,2.92,51.01,13.87
roma,86.0,au,1585505766,66.0,-26.58,148.78,69.87,13.38
fukue,100.0,jp,1585505554,73.0,32.69,128.84,54.82,17.76
vikhorevka,41.0,ru,1585505767,68.0,56.12,101.16,24.8,4.47
calvinia,0.0,za,1585505767,23.0,-31.47,19.78,61.48,6.76
edd,53.0,er,1585505767,76.0,13.93,41.69,82.65,9.98
asosa,3.0,et,1585505767,11.0,10.07,34.53,76.71,4.65
mahebourg,75.0,mu,1585505768,94.0,-20.41,57.7,80.6,9.17
pinos,90.0,mx,1585505768,49.0,22.3,-101.57,69.8,8.05
berbera,21.0,so,1585505664,78.0,10.44,45.01,81.82,6.31
yar-sale,37.0,ru,1585505768,94.0,66.83,70.83,25.66,25.17
abancay,72.0,pe,1585505769,29.0,-13.63,-72.88,68.16,6.8
bayan,0.0,kw,1585505632,44.0,29.3,48.05,75.2,9.17
grand-santi,87.0,gf,1585505769,87.0,4.25,-54.38,81.41,5.79
sterling,90.0,us,1585505769,87.0,39.01,-77.43,66.0,5.82
ifakara,57.0,tz,1585505770,83.0,-8.13,36.68,75.13,1.12
chicama,43.0,pe,1585505770,78.0,-7.84,-79.15,73.4,9.17
sobolevo,89.0,ru,1585505770,70.0,54.43,31.9,47.39,7.85
kewanee,90.0,us,1585505506,61.0,41.25,-89.92,54.0,16.11
haines junction,91.0,ca,1585505771,76.0,60.75,-137.51,2.79,8.79
paita,23.0,pe,1585505771,54.0,-5.09,-81.11,82.94,10.18
mahanoro,92.0,mg,1585505771,86.0,-19.9,48.8,78.85,7.56
winslow,1.0,us,1585505771,30.0,35.02,-110.7,55.0,3.36
beloha,21.0,mg,1585505772,79.0,-25.17,45.05,71.89,8.97
fort wellington,100.0,gy,1585505772,85.0,6.4,-57.6,79.74,15.46
quatre cocos,75.0,mu,1585505772,94.0,-20.21,57.76,80.6,9.17
pisco,85.0,pe,1585505772,30.0,-13.7,-76.22,75.99,10.29
ucluelet,95.0,ca,1585505773,87.0,48.93,-125.55,46.99,4.97
steinbach,20.0,ca,1585505699,74.0,49.53,-96.68,37.0,12.75
ankang,79.0,cn,1585505773,67.0,32.68,109.02,44.8,1.86
palembang,84.0,id,1585505773,97.0,-2.92,104.75,75.81,2.53
shitanjing,99.0,cn,1585505774,25.0,39.23,106.34,44.87,3.67
tulum,75.0,mx,1585505774,62.0,20.22,-87.47,86.0,16.11
erzin,79.0,ru,1585505774,80.0,50.26,95.16,7.21,1.48
vestmannaeyjar,75.0,is,1585505774,75.0,63.44,-20.27,42.8,18.34
katsuura,75.0,jp,1585505775,75.0,35.13,140.3,42.8,13.87
tiarei,80.0,pf,1585505775,69.0,-17.53,-149.33,82.4,3.36
misratah,95.0,ly,1585505600,79.0,32.38,15.09,61.12,14.2
pa sang,0.0,th,1585505775,37.0,18.53,98.94,82.4,4.7
puerto leguizamo,80.0,co,1585505776,69.0,-0.19,-74.78,86.07,1.43
karratha,3.0,au,1585505776,37.0,-20.74,116.85,89.28,6.38
muros,69.0,es,1585505776,54.0,42.78,-9.06,63.0,11.41
nouadhibou,76.0,mr,1585505825,64.0,20.93,-17.03,71.6,17.22
vostok,1.0,ru,1585505825,87.0,46.49,135.88,22.73,6.69
baruun-urt,23.0,mn,1585505825,44.0,46.68,113.28,33.8,5.1
wang noi,20.0,th,1585505825,79.0,14.23,100.72,86.0,9.17
bolshevik,92.0,ru,1585505826,64.0,46.51,38.23,53.51,1.21
sulangan,64.0,ph,1585505826,76.0,11.14,123.72,80.53,13.76
gibsons,75.0,ca,1585505826,71.0,49.4,-123.5,51.01,9.17
kaitangata,46.0,nz,1585505827,83.0,-46.28,169.85,54.0,13.0
rabat,40.0,ma,1585505579,59.0,33.99,-6.84,63.0,11.41
moissala,87.0,td,1585505827,22.0,8.34,17.77,93.67,2.1
korla,9.0,cn,1585505827,77.0,41.76,86.15,46.0,8.99
nanyamba,79.0,tz,1585505827,87.0,-10.68,39.83,72.54,1.77
sabaudia,5.0,it,1585505828,81.0,41.3,13.03,57.0,6.93
ostrow mazowiecka,86.0,pl,1585505828,81.0,52.8,21.9,36.0,11.99
iqaluit,75.0,ca,1585505828,71.0,63.75,-68.51,8.6,8.05
benguela,18.0,ao,1585505828,79.0,-12.58,13.41,78.12,4.36
narsaq,100.0,gl,1585505532,86.0,60.92,-46.05,41.0,10.89
pontianak,97.0,id,1585505706,89.0,-0.03,109.33,78.1,4.99
kurilsk,65.0,ru,1585505829,90.0,45.23,147.88,30.02,8.95
nanpiao,0.0,cn,1585505829,60.0,41.1,120.75,40.05,10.42
koutiala,35.0,ml,1585505775,12.0,12.39,-5.46,100.08,12.01
rocha,57.0,uy,1585505830,50.0,-34.48,-54.33,83.77,6.29
paamiut,100.0,gl,1585505830,98.0,61.99,-49.67,31.66,20.8
othaya,100.0,ke,1585505830,92.0,-0.57,36.96,57.0,4.0
kawalu,100.0,id,1585505830,81.0,-7.38,108.21,74.61,1.25
dongsheng,45.0,cn,1585505544,28.0,39.82,109.98,40.53,8.25
fort nelson,90.0,ca,1585505643,77.0,58.81,-122.7,3.2,8.05
xining,91.0,cn,1585505831,34.0,36.62,101.77,36.91,0.63
prado,78.0,br,1585505832,79.0,-17.34,-39.22,81.14,14.7
cervo,71.0,es,1585505832,1.0,43.67,-7.41,52.0,14.0
mayo,5.0,ca,1585505832,51.0,63.59,-135.9,-13.0,5.82
severo-yeniseyskiy,97.0,ru,1585505832,94.0,60.37,93.04,19.85,8.88
ulaangom,68.0,mn,1585505833,76.0,49.98,92.07,16.48,6.17
zhigansk,91.0,ru,1585505833,93.0,66.77,123.37,2.25,7.38
indi,66.0,in,1585505833,16.0,17.17,75.97,90.88,9.26
anadyr,84.0,ru,1585505834,78.0,64.75,177.48,17.6,24.61
chernogorsk,84.0,ru,1585505834,63.0,53.82,91.28,28.4,11.18
coahuayana,5.0,mx,1585505834,32.0,18.73,-103.68,84.2,11.41
husavik,75.0,is,1585505834,84.0,66.04,-17.34,46.4,24.16
basoko,27.0,cd,1585505835,54.0,1.24,23.62,81.01,1.7
kulhudhuffushi,6.0,mv,1585505835,64.0,6.62,73.07,83.8,1.52
eureka,90.0,us,1585505835,62.0,40.8,-124.16,57.2,12.75
harper,27.0,lr,1585505835,75.0,4.38,-7.72,83.86,7.05
gimli,100.0,ca,1585505827,77.0,50.63,-96.99,35.01,8.99
shetpe,2.0,kz,1585505836,39.0,44.17,52.12,52.3,15.39
sorland,40.0,no,1585505885,68.0,67.67,12.69,30.2,23.04
quang ngai,22.0,vn,1585505885,84.0,15.12,108.8,76.17,9.89
bubaque,15.0,gw,1585505885,67.0,11.28,-15.83,81.1,16.69
manggar,57.0,id,1585505885,82.0,-2.88,108.27,80.53,6.29
sibolga,96.0,id,1585505886,80.0,1.74,98.78,78.28,1.23
malia,0.0,in,1585505886,33.0,29.13,74.69,74.86,8.86
hovd,100.0,mn,1585505886,69.0,48.01,91.64,20.7,3.22
sinegorskiy,23.0,ru,1585505886,44.0,48.01,40.84,51.39,12.84
ust-donetskiy,42.0,ru,1585505887,45.0,47.64,40.87,51.49,11.25
sorong,99.0,id,1585505887,88.0,-0.88,131.25,77.74,3.15
rwamagana,40.0,rw,1585505887,93.0,-1.95,30.43,68.0,2.24
maues,61.0,br,1585505887,73.0,-3.38,-57.72,87.98,4.05
cairns,40.0,au,1585505695,94.0,-16.92,145.77,75.2,11.41
daru,95.0,pg,1585505888,88.0,-9.08,143.21,78.1,7.7
syamzha,100.0,ru,1585505637,96.0,60.02,41.06,26.1,5.21
tucumcari,1.0,us,1585505800,37.0,35.17,-103.72,57.0,3.36
borova,11.0,ua,1585505889,27.0,50.18,30.1,55.99,2.24
emerald,0.0,au,1585505889,88.0,-23.53,148.17,69.8,8.05
poros,20.0,gr,1585505889,81.0,37.5,23.45,57.0,6.17
codajas,62.0,br,1585505890,69.0,-3.84,-62.06,89.28,2.21
brazi,32.0,ro,1585505890,61.0,45.48,22.83,42.21,2.73
ibra,0.0,om,1585505890,48.0,22.69,58.53,75.63,15.61
gizo,97.0,sb,1585505891,72.0,-8.1,156.84,82.67,3.06
arsk,100.0,ru,1585505891,70.0,56.09,49.88,42.8,8.95
arinos,99.0,br,1585505891,56.0,-15.92,-46.11,82.58,5.46
valparaiso,69.0,cl,1585505891,56.0,-33.04,-71.63,71.6,5.82
tual,28.0,id,1585505892,71.0,-5.67,132.75,83.39,2.37
armizonskoye,99.0,ru,1585505892,95.0,55.95,67.67,31.15,13.18
paramonga,98.0,pe,1585505892,66.0,-10.67,-77.83,77.65,9.48
chilca,72.0,pe,1585505892,78.0,-12.52,-76.74,75.2,9.17
jining,72.0,cn,1585505893,90.0,35.41,116.58,41.05,6.38
skelleftea,100.0,se,1585505893,68.0,64.75,20.95,27.0,4.7
santa isabel do rio negro,74.0,br,1585505893,76.0,-0.41,-65.02,86.95,2.64
vardo,40.0,no,1585505894,72.0,70.37,31.11,17.6,11.41
pokrovsk,98.0,ru,1585505894,95.0,61.48,129.13,11.55,1.01
bulgan,100.0,mn,1585505894,69.0,48.81,103.53,25.07,4.99
alyangula,48.0,au,1585505894,100.0,-13.85,136.42,75.2,7.54
petrovsk,83.0,ru,1585505895,67.0,52.31,45.39,42.48,8.32
wahiawa,75.0,us,1585505895,100.0,21.5,-158.02,75.2,9.8
arandis,11.0,na,1585505895,89.0,-22.42,14.97,61.0,1.99
kidal,93.0,ml,1585505895,13.0,18.44,1.41,94.96,9.75
xiaoyi,40.0,cn,1585505895,57.0,34.62,109.7,47.46,3.29
ponta delgada,40.0,pt,1585505896,72.0,37.73,-25.67,60.8,17.22
lufilufi,90.0,ws,1585505896,76.0,-13.87,-171.6,84.15,13.73
portland,57.0,au,1585505896,77.0,-38.33,141.6,59.2,15.17
rawdon,90.0,ca,1585505896,93.0,46.05,-73.72,43.0,9.17
abashiri,0.0,jp,1585505945,93.0,44.02,144.27,30.22,5.77
hami,78.0,cn,1585505945,35.0,42.8,93.45,45.81,12.44
beni,87.0,cd,1585505945,63.0,0.5,29.47,64.69,2.71
sawakin,0.0,sd,1585505946,68.0,19.11,37.33,74.64,12.01
telhara,59.0,in,1585505946,26.0,21.03,76.84,88.86,6.58
inta,77.0,ru,1585505946,94.0,66.03,60.17,20.95,15.79
kerman,75.0,ir,1585505733,58.0,30.28,57.08,53.6,13.87
iquique,80.0,cl,1585505947,56.0,-20.22,-70.14,73.4,19.46
teguldet,83.0,ru,1585505947,97.0,57.31,88.17,29.7,10.36
alihe,16.0,cn,1585505947,76.0,50.57,123.72,31.26,5.08
verkhnevilyuysk,66.0,ru,1585505947,95.0,63.45,120.32,14.25,4.29
loubomo,67.0,cg,1585505948,84.0,-4.2,12.67,76.91,2.17
sao francisco,78.0,br,1585505948,55.0,-15.95,-44.86,84.06,3.04
loreto,7.0,mx,1585505948,22.0,22.27,-101.97,77.32,11.32
champerico,75.0,gt,1585505948,62.0,14.3,-91.92,89.6,11.41
mussomeli,98.0,it,1585505949,81.0,37.58,13.75,52.0,0.72
atakpame,39.0,tg,1585505949,45.0,7.53,1.13,88.57,2.95
palmer,90.0,us,1585505718,87.0,42.16,-72.33,48.2,3.36
constitucion,40.0,mx,1585505949,14.0,23.99,-104.67,75.2,4.7
brenham,1.0,us,1585505950,53.0,30.17,-96.4,80.6,3.36
mujiayingzi,0.0,cn,1585505950,45.0,42.12,118.78,40.1,9.93
bogorodskoye,100.0,ru,1585505754,84.0,56.55,37.88,40.37,10.63
natal,20.0,br,1585505950,88.0,-5.79,-35.21,82.4,9.17
george town,20.0,ky,1585505951,66.0,19.29,-81.37,86.0,12.75
los llanos de aridane,75.0,es,1585505725,68.0,28.66,-17.92,68.0,3.36
prainha,37.0,br,1585505951,49.0,-1.8,-53.48,92.57,6.13
sisimiut,100.0,gl,1585505951,95.0,66.94,-53.67,32.9,6.13
buala,100.0,sb,1585505952,83.0,-8.14,159.59,79.45,2.66
ulladulla,90.0,au,1585505952,82.0,-35.35,150.47,68.0,16.11
dingle,20.0,ie,1585505952,49.0,52.14,-10.27,46.4,9.17
marawi,0.0,sd,1585505952,15.0,18.48,31.82,79.54,12.08
bunia,100.0,cd,1585505952,63.0,1.57,30.25,64.26,3.04
college,1.0,us,1585505691,49.0,64.86,-147.8,6.8,5.03
fayetteville,1.0,us,1585505687,48.0,35.05,-78.88,87.01,18.34
wuchang,0.0,cn,1585505953,59.0,44.91,127.15,38.77,14.67
auki,100.0,sb,1585505954,86.0,-8.77,160.7,78.08,1.21
te anau,16.0,nz,1585505954,71.0,-45.42,167.72,46.35,1.03
napa,75.0,us,1585505667,100.0,38.48,-122.33,57.2,4.7
tura,81.0,ru,1585505954,90.0,64.28,100.25,10.54,9.22
hokitika,90.0,nz,1585505955,70.0,-42.72,170.97,56.19,11.18
port lincoln,44.0,au,1585505955,69.0,-34.73,135.87,61.43,9.42
craig,75.0,us,1585505955,38.0,40.52,-107.55,42.8,3.36
roura,90.0,gf,1585505955,70.0,4.73,-52.33,86.0,13.87
kokoda,96.0,pg,1585505956,63.0,-8.88,147.74,74.66,0.65
svetlyy,74.0,ru,1585505956,59.0,54.67,20.13,35.6,22.37
orlik,86.0,ru,1585506005,74.0,52.52,99.83,3.76,3.51
salalah,75.0,om,1585506005,78.0,17.02,54.09,80.6,10.29
abadan,1.0,ir,1585506005,53.0,30.34,48.3,71.6,9.17
noshiro,0.0,jp,1585506005,78.0,40.2,140.02,36.21,2.68
staraya russa,100.0,ru,1585506006,82.0,57.99,31.36,31.69,9.71
port augusta,96.0,au,1585506006,82.0,-32.5,137.77,59.0,6.93
ospina,75.0,co,1585506006,67.0,1.06,-77.57,64.4,12.75
petropavlovsk-kamchatskiy,40.0,ru,1585506006,63.0,53.05,158.65,26.6,4.47
port hedland,4.0,au,1585505707,88.0,-20.32,118.57,82.4,1.12
guardiagrele,34.0,it,1585506007,58.0,42.2,14.22,57.2,6.93
san lorenzo,62.0,ar,1585506007,63.0,-28.13,-58.77,88.0,1.99
gisborne,100.0,nz,1585505711,96.0,-38.65,178.0,57.99,1.01
brigantine,90.0,us,1585506007,82.0,39.41,-74.36,57.0,4.63
nantucket,90.0,us,1585506008,75.0,41.28,-70.1,46.99,19.46
yuci,11.0,cn,1585506008,48.0,37.68,112.73,44.6,6.71
nacala,80.0,mz,1585505850,87.0,-14.54,40.67,77.43,10.89
sabinas,42.0,mx,1585505763,24.0,27.85,-101.12,74.48,13.29
ugoofaaru,36.0,mv,1585506009,63.0,5.67,73.0,84.24,3.6
pandan,0.0,ph,1585506009,82.0,14.05,124.17,80.02,10.31
menongue,97.0,ao,1585506009,61.0,-14.66,17.69,67.21,5.48
dutlwe,70.0,bw,1585506010,54.0,-23.98,23.9,69.26,14.34
leningradskiy,99.0,ru,1585506010,82.0,69.38,178.42,16.3,9.1
aykhal,90.0,ru,1585506010,92.0,66.0,111.5,10.4,2.24
ohara,75.0,jp,1585506010,86.0,35.25,140.38,42.8,11.41
fort-shevchenko,0.0,kz,1585506010,38.0,44.51,50.26,55.92,17.25
huinan,0.0,cn,1585506011,67.0,42.62,126.26,34.72,6.85
savannah bight,0.0,hn,1585506011,76.0,16.45,-85.85,80.31,20.33
turtas,100.0,ru,1585506011,91.0,58.94,69.13,36.59,9.91
muli,97.0,mv,1585506011,70.0,2.92,73.57,83.75,8.75
wasilla,1.0,us,1585505932,28.0,61.58,-149.44,19.4,34.45
gondar,60.0,et,1585506012,11.0,12.6,37.47,69.19,11.12
miyako,0.0,jp,1585506012,77.0,39.64,141.95,34.88,4.43
souillac,75.0,mu,1585506012,94.0,-20.52,57.52,80.6,9.17
burlington,90.0,us,1585506012,93.0,39.88,-74.64,53.6,4.7
svetlaya,0.0,ru,1585506013,84.0,46.54,138.33,33.67,7.34
turukhansk,100.0,ru,1585506013,98.0,65.82,87.98,27.73,12.68
kashi,52.0,cn,1585506013,8.0,39.45,75.98,59.0,4.47
do gonbadan,20.0,ir,1585505787,87.0,30.36,50.8,57.2,3.49
harnosand,90.0,se,1585506013,100.0,62.63,17.94,35.01,3.36
luau,67.0,ao,1585506014,70.0,-10.71,22.22,66.7,3.62
micheweni,92.0,tz,1585506014,74.0,-4.97,39.83,84.54,10.56
plettenberg bay,19.0,za,1585506014,78.0,-34.05,23.37,61.81,1.45
morros,98.0,br,1585506015,54.0,-9.45,-46.3,85.19,9.98
trelew,0.0,ar,1585506015,24.0,-43.25,-65.31,69.71,8.16
kluczbork,99.0,pl,1585506015,87.0,50.97,18.22,35.49,17.36
srednekolymsk,28.0,ru,1585506065,89.0,67.45,153.68,16.66,9.86
patiya,0.0,bd,1585506065,84.0,22.29,91.98,71.22,3.6
namibe,42.0,ao,1585506065,75.0,-15.2,12.15,72.64,8.57
qandala,2.0,so,1585505826,64.0,11.47,49.87,83.79,5.03
bundaberg,15.0,au,1585506066,94.0,-24.85,152.35,68.0,6.93
port keats,44.0,au,1585506066,75.0,-14.25,129.55,83.08,3.65
shegaon,48.0,in,1585506066,28.0,20.78,76.68,88.2,4.47
yerbogachen,99.0,ru,1585506066,93.0,61.28,108.01,20.53,11.18
becerril,7.0,co,1585506067,24.0,9.7,-73.28,101.77,2.13
taltal,65.0,cl,1585506067,55.0,-25.4,-70.48,73.83,9.08
payson,75.0,us,1585506067,45.0,40.04,-111.73,48.99,5.82
esso,30.0,ru,1585506067,83.0,55.93,158.7,5.81,4.63
tavira,20.0,pt,1585506068,82.0,37.13,-7.65,61.0,6.93
waingapu,34.0,id,1585506068,81.0,-9.66,120.26,79.16,7.61
diamantina,97.0,br,1585506068,52.0,-18.25,-43.6,74.43,4.72
komsomolskiy,0.0,ru,1585506068,47.0,43.98,46.7,51.01,18.66
maceio,75.0,br,1585506069,94.0,-9.67,-35.74,77.0,19.46
chino valley,1.0,us,1585506069,27.0,34.76,-112.45,57.99,6.93
matara,28.0,lk,1585506027,82.0,5.95,80.54,78.19,2.44
svetlogorsk,60.0,ru,1585506069,59.0,54.94,20.15,35.6,22.37
saint-francois,20.0,gp,1585506069,61.0,16.25,-61.27,82.4,14.99
